,scatter energy,scatter locations,absorption energies,absorption locations
0,0.292709,"[-275.608, -119.269, 226.345]",0.371602,"[-131.208, -38.2785, 953.033]"
1,0.330159,"[284.871, -115.89, 183.949]",0.327047,"[60.7639, 166.423, 994.4]"
2,0.30274,"[-289.355, 112.814, 266.995]",0.367206,"[18.6837, 209.276, 952.185]"
3,0.436574,"[-249.722, 90.4909, 193.466]",0.221949,"[255.268, -152.665, 244.74]"
4,0.362225,"[-83.5104, 25.9289, 949.66]",0.300207,"[1.3754, 87.3755, 957.399]"
5,0.447827,"[256.328, -98.1743, 199.825]",0.222763,"[301.975, 94.4673, 161.306]"
6,0.451673,"[301.869, 89.897, 154.38]",0.202938,"[313.859, -79.0273, 197.254]"
7,0.464396,"[291.152, 117.78, 150.928]",0.193589,"[-242.997, 145.677, 239.402]"
8,0.452187,"[243.805, -190.835, 222.933]",0.215203,"[-228.692, -127.302, 218.096]"
9,0.442504,"[248.64, 111.143, 185.247]",0.214992,"[-256.003, 193.872, 236.227]"
10,0.430187,"[-318.235, 85.7884, 176.291]",0.239027,"[-322.486, -110.219, 147.508]"
11,0.385044,"[85.9207, 25.0833, 968.819]",0.26984,"[0.00583023, 79.3142, 968.301]"
12,0.391243,"[-138.693, -67.1714, 959.456]",0.280636,"[-70.9808, -141.843, 957.502]"
13,0.32608,"[-253.074, -146.436, 220.859]",0.332016,"[4.14278, 133.219, 960.557]"
14,0.331144,"[-275.143, 150.256, 272.265]",0.321903,"[-156.253, 55.6047, 968.402]"
15,0.301993,"[-265.806, -110.503, 192.688]",0.356569,"[-23.2178, -162.945, 1012.14]"
16,0.162235,"[272.056, -87.5836, 216.017]",0.491212,"[-59.7844, -112.49, 949.66]"
17,0.402279,"[117.97, -54.7298, 982.443]",0.261766,"[46.8912, -107.793, 981.019]"
18,0.370555,"[-98.0108, 41.4631, 974.05]",0.300075,"[-3.6145, 84.3013, 954.257]"
19,0.373812,"[-89.1406, 20.5285, 1016.85]",0.280223,"[14.1081, 88.6012, 1000.54]"
20,0.374376,"[-95.1829, -18.9, 1033.74]",0.286969,"[-53.5362, 110.179, 956.873]"
