,scatter energy,scatter locations,absorption energies,absorption locations
0,0.410422,"[9.26491, -129.702, 956.541]",0.259236,"[-110.506, -2.07579, 904.534]"
1,0.342978,"[16.2908, 115.621, 827.108]",0.318019,"[106.383, 17.1968, 864.321]"
2,0.360192,"[102.201, 17.0535, 893.053]",0.292192,"[17.0074, 108.01, 823.866]"
3,0.361514,"[-33.3977, 41.9837, 473.994]",0.309184,"[51.0527, 39.4487, 446.684]"
4,0.342526,"[-131.242, 32.5834, 840.312]",0.312136,"[-10.4659, 138.042, 884.602]"
5,0.385869,"[-43.3502, 34.5415, 442.684]",0.270095,"[-38.0035, -39.1215, 436.512]"
6,0.368585,"[18.2129, -117.938, 891.165]",0.294924,"[110.955, 25.6602, 832.439]"
7,0.411668,"[41.3736, 38.3246, 463.032]",0.249645,"[33.6117, -38.3066, 442.204]"
8,0.410512,"[103.504, 22.2553, 924.978]",0.249595,"[8.05969, 130.953, 900.38]"
9,0.377397,"[147.466, -33.8826, 830.177]",0.27723,"[-11.4686, -98.4303, 847.73]"
10,0.354697,"[-32.0068, -115.582, 820.293]",0.311749,"[-32.5111, 117.829, 927.803]"
11,0.327288,"[-99.205, 6.54752, 922.512]",0.338598,"[144.223, 17.7949, 821.585]"
12,0.403682,"[-46.2876, 41.122, 447.07]",0.257953,"[37.3433, -49.9142, 437.356]"
13,0.323648,"[12.2781, 107.129, 830.954]",0.33622,"[164.369, 4.57796, 875.602]"
14,0.411362,"[-14.1176, 128.399, 958.685]",0.255962,"[-106.253, 6.43686, 846.079]"
15,0.33521,"[112.385, 4.6281, 874.93]",0.320543,"[26.7227, -108.93, 827.905]"
16,0.431222,"[-33.4764, -37.2809, 467.847]",0.224061,"[41.9812, -43.464, 445.888]"
17,0.0134932,"[48.0328, 34.6891, 438.735]",0.646679,"[157.173, -0.759283, 869.648]"
18,0.402722,"[-0.460278, 109.697, 816.926]",0.260684,"[-135.07, 36.1586, 843.681]"
19,0.0429342,"[38.2486, -42.2383, 477.334]",0.618007,"[-31.7882, -147.561, 861.626]"
20,0.348739,"[-119.464, 24.5327, 899.364]",0.313769,"[-31.3412, -151.778, 822.538]"
21,0.377751,"[37.676, -37.4292, 446.127]",0.284953,"[-37.1382, 43.5332, 462.466]"
22,0.356011,"[-22.5945, 124.285, 818.461]",0.296644,"[-129.772, 27.4258, 839.353]"
23,0.422945,"[-14.2394, -122.164, 920.454]",0.238242,"[-110.954, -19.4822, 846.358]"
24,0.334977,"[-150.023, -26.4255, 881.711]",0.333472,"[-10.5873, -148.534, 826.966]"
25,0.403005,"[133.118, -36.4093, 844.121]",0.254151,"[-4.62455, -118.237, 830.034]"
