,scatter energy,scatter locations,absorption energies,absorption locations
0,0.429048,5,0.228555,6
1,0.47092,4,0.19499,0
2,0.423604,5,0.231078,6
3,0.384984,5,0.278137,6
4,0.472764,4,0.197402,0
5,0.431459,5,0.236632,4
6,0.11951,0,0.539043,4
7,0.406361,5,0.251889,6
8,0.429219,5,0.237558,6
9,0.419262,7,0.233088,6
10,0.427683,5,0.231274,4
11,0.468696,5,0.190526,3
12,0.474061,6,0.187028,3
13,0.474477,7,0.192645,2
14,0.432995,5,0.224485,4
15,0.193104,3,0.462534,7
16,0.416464,7,0.240215,6
17,0.477003,6,0.183164,3
18,0.117702,3,0.543432,5
19,0.417134,5,0.246228,6
20,0.203573,3,0.460893,4
21,0.474456,5,0.189077,0
22,0.406968,7,0.254403,6
23,0.431601,5,0.234368,4
24,0.430819,7,0.223403,6
25,0.476158,4,0.185198,0
26,0.476077,4,0.178217,1
27,0.4719,4,0.189916,0
28,0.180685,0,0.478292,6
29,0.129734,2,0.539206,6
30,0.433154,5,0.225274,4
31,0.47357,6,0.195519,2
32,0.423206,6,0.230546,5
33,0.426304,7,0.23125,6
34,0.42212,5,0.247581,4
35,0.20317,0,0.449279,7
36,0.385786,7,0.284982,4
37,0.426387,6,0.229214,7
38,0.431566,1,0.220944,2
39,0.422709,6,0.248017,5
40,0.474946,5,0.195463,3
41,0.43305,1,0.218982,2
42,0.423135,7,0.229272,4
43,0.328999,4,0.324372,5
44,0.371458,5,0.297344,6
45,0.40302,6,0.256732,5
46,0.420544,5,0.238895,4
47,0.431638,7,0.226661,6
48,0.412622,5,0.252506,4
49,0.41577,5,0.250077,6
50,0.475425,6,0.193989,2
51,0.431382,2,0.2266,1
52,0.434057,5,0.236312,6
53,0.470352,6,0.187997,3
54,0.428771,6,0.229796,7
55,0.378542,5,0.27928,4
56,0.405257,7,0.258421,4
57,0.398907,5,0.267608,6
58,0.429408,6,0.232462,5
59,0.417404,4,0.239873,7
60,0.430319,4,0.22955,5
61,0.429308,5,0.223998,4
62,0.468822,7,0.200699,2
63,0.427492,4,0.236024,7
64,0.416406,7,0.243745,6
65,0.191498,0,0.46743,7
66,0.431702,5,0.22303,4
67,0.426621,4,0.239914,5
68,0.352587,6,0.306085,5
69,0.432968,6,0.23345,7
70,0.428535,3,0.238302,0
71,0.41504,7,0.248749,6
72,0.403481,7,0.257409,6
73,0.468767,4,0.196227,0
74,0.179065,1,0.478593,5
75,0.122846,2,0.531111,6
76,0.431552,7,0.234202,6
77,0.433923,7,0.235811,4
78,0.428897,6,0.239716,5
79,0.396305,4,0.265818,5
80,0.468848,7,0.200109,1
81,0.429333,4,0.225955,5
82,0.423365,4,0.234751,7
83,0.425339,5,0.22931,6
84,0.373277,5,0.281923,4
85,0.21073,0,0.453648,7
86,0.405061,6,0.259006,7
87,0.477631,6,0.181658,2
88,0.431942,4,0.238793,5
89,0.431366,6,0.23222,7
90,0.429051,4,0.228918,5
91,0.422599,5,0.247245,6
92,0.425921,7,0.239605,4
93,0.419293,5,0.237101,6
94,0.200816,3,0.459783,4
95,0.186663,0,0.480943,7
96,0.4259,5,0.235145,6
97,0.420458,4,0.250119,5
98,0.188552,2,0.479501,5
99,0.42844,5,0.234113,6
100,0.418003,4,0.235291,7
101,0.464283,5,0.193322,2
102,0.397398,7,0.260797,6
103,0.429327,7,0.24128,4
104,0.39332,4,0.273287,5
105,0.470436,4,0.196273,1
106,0.0941786,0,0.56502,4
107,0.428605,7,0.240978,4
108,0.191682,0,0.465914,6
109,0.418856,6,0.239599,5
110,0.427307,5,0.228815,4
111,0.475231,7,0.178093,1
112,0.422782,5,0.246318,6
113,0.387734,7,0.266115,6
114,0.429542,7,0.239513,4
115,0.431211,5,0.226076,4
116,0.427084,5,0.23204,4
117,0.475911,4,0.190334,0
118,0.435061,5,0.226821,6
119,0.403154,4,0.253907,5
120,0.18961,3,0.471283,7
121,0.427558,7,0.23652,6
122,0.469892,5,0.195828,0
123,0.425446,7,0.235012,4
124,0.434301,7,0.229782,4
125,0.469226,5,0.188036,3
126,0.474568,4,0.187654,3
127,0.432624,7,0.238675,6
128,0.195748,0,0.469368,6
129,0.472088,6,0.193713,2
130,0.39392,5,0.264124,4
131,0.471213,4,0.191478,2
132,0.474336,6,0.196305,3
133,0.471084,7,0.196995,2
134,0.39079,5,0.277412,6
135,0.47376,6,0.18673,2
136,0.433295,7,0.219003,6
137,0.473947,5,0.18852,3
138,0.470775,4,0.184517,1
139,0.474118,4,0.190811,2
140,0.470568,7,0.189953,2
141,0.427758,6,0.225858,7
142,0.427593,7,0.236004,6
143,0.429668,4,0.240335,5
144,0.430348,5,0.228903,6
145,0.387134,4,0.279701,5
146,0.43512,7,0.22778,6
147,0.414192,7,0.251312,6
148,0.474702,5,0.188313,0
149,0.433222,7,0.222652,4
150,0.470517,7,0.185306,2
151,0.46966,4,0.199884,2
152,0.470163,4,0.201053,0
153,0.431482,3,0.228165,0
154,0.43249,6,0.233949,5
155,0.473758,5,0.182135,3
156,0.186583,1,0.475327,6
157,0.418979,1,0.243109,0
158,0.471401,4,0.198263,0
159,0.185377,2,0.484291,5
160,0.408326,7,0.247647,6
161,0.128525,1,0.536302,7
162,0.371083,6,0.2973,5
163,0.113559,2,0.554994,6
164,0.431785,7,0.228448,4
165,0.0919083,2,0.569937,5
166,0.426668,5,0.243657,4
167,0.428639,6,0.23192,5
168,0.434116,6,0.225455,7
169,0.470379,7,0.183296,1
170,0.46918,7,0.200792,2
171,0.424504,2,0.232511,3
172,0.430709,4,0.234645,7
173,0.470521,7,0.187899,1
174,0.472266,5,0.189293,3
175,0.429374,7,0.234711,4
176,0.474045,4,0.179591,3
177,0.434999,6,0.23123,7
178,0.191445,3,0.464658,7
179,0.406382,5,0.245721,4
180,0.128708,0,0.537528,4
181,0.433591,7,0.227866,6
182,0.425307,5,0.234304,4
